COMM_NAME,Avg_Index,Volatility_Percent,Price_Range,Growth_Percent,Data_Points,Year_Range
) Non-coking Coal G1 To G6 [gcv Exceeding 5500 Kcal/kg.],93.94,7.51,18.2,-10.06,160,2012-2025
) Non-coking Coal G15 To G17 [gcv < 3100 Kcal/kg.],120.87,5.98,28.5,22.55,160,2012-2025
) Non-coking Coal G7 To G14 [gcv 3100 Kcal/kg. To 5500 Kcal/kg.],127.83,10.85,46.0,41.67,160,2012-2025
2/3 Wheeler Rubber Tube,121.52,9.51,40.8,37.39,160,2012-2025
2/3 Wheeler Tyre,106.08,7.3,27.8,16.83,160,2012-2025
A C Motor,122.1,11.55,42.9,36.18,160,2012-2025
API & Formulations Of Vitamins,130.19,11.37,52.8,43.3,160,2012-2025
ATF,109.98,34.08,195.5,21.98,160,2012-2025
Acetic Acid And Its Derivatives,119.58,22.03,123.4,10.3,160,2012-2025
Acrylic Fibre,108.98,7.42,31.0,19.71,160,2012-2025
Acrylic/plastic Sheet,117.77,9.35,46.1,21.14,160,2012-2025
Acsr Conductors,118.78,9.82,45.5,39.76,160,2012-2025
Additive,129.79,20.47,76.2,52.77,160,2012-2025
Adhesive Excluding Gum,110.91,7.58,33.7,14.4,160,2012-2025
Adhesive Tape (non-medicinal),119.08,10.78,45.8,36.93,160,2012-2025
Aerated Drinks/soft Drinks (incl. Soft Drink Concentrates),123.25,6.23,31.9,21.59,160,2012-2025
Agarbatti,116.14,5.34,24.7,22.57,160,2012-2025
Agricultural Tractors,119.49,9.93,38.5,35.95,160,2012-2025
Agriculture Implements,125.28,15.0,59.0,51.72,160,2012-2025
Agro Chemical Formulation,146.07,14.38,75.5,60.63,160,2012-2025
Air Conditioner,114.58,5.51,24.5,18.08,160,2012-2025
Air Conditioning Plant,108.58,10.41,44.3,32.28,160,2012-2025
Air Coolers,119.1,7.71,37.1,29.62,160,2012-2025
Air Filters,137.72,7.63,52.4,32.39,160,2012-2025
Air Gas Compressor Including Compressor For Refrigerator,116.43,10.03,44.8,35.87,160,2012-2025
Air Or Vacuum Pump,111.35,8.2,26.3,23.5,160,2012-2025
Alcohols,130.39,16.47,78.0,57.36,160,2012-2025
Alkyl Benzene,105.0,16.33,76.5,15.73,160,2012-2025
Alloy Steel Castings,128.08,14.19,65.1,40.74,160,2012-2025
Alloy Steel Other Than Stainless Steel- Shapes,112.58,17.52,77.2,24.33,160,2012-2025
Alloy Steel Wire Rods,112.58,17.52,77.2,24.33,160,2012-2025
Almonds,185.61,24.04,162.5,151.14,160,2012-2025
Aluminium Alloys,125.95,19.01,73.2,65.13,160,2012-2025
Aluminium Castings,117.5,10.65,40.9,32.63,160,2012-2025
Aluminium Disk And Circles,111.53,12.65,52.0,40.26,160,2012-2025
Aluminium Ingot,127.39,19.41,78.8,67.83,160,2012-2025
Aluminium Metal,120.05,13.47,56.9,44.97,160,2012-2025
Aluminium Powder,132.14,22.16,91.3,83.32,160,2012-2025
Aluminium Shapes - Bars/rods/flats,125.83,17.43,73.5,63.77,160,2012-2025
Aluminium Utensils,121.19,9.86,45.6,39.87,160,2012-2025
Aluminium Wire,129.4,18.06,78.1,70.88,160,2012-2025
Aluminium/alloy Conductor,130.52,17.99,79.9,74.1,160,2012-2025
Alumnium Foil,124.1,15.13,62.6,53.68,160,2012-2025
Amine,134.52,14.89,88.7,15.42,160,2012-2025
Amla,186.32,31.27,258.5,134.16,160,2012-2025
